Layer,PositionX,PositionY,PositionZ,ForwardX,ForwardY,ForwardZ,NormalX,NormalY,NormalZ
INSTANTIATE::TARGETS::PARK,-390.319471193015,0,-502.835305296874,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,-715.961244767503,0,-445.729212396455,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,-332.297491316452,-2.95585778076202E-12,-443.787811690021,1,0,0,0,1,0
INSTANTIATE::TARGETS::INTERSECTIONS,-320.371094436423,0,-423.949107883716,1,0,0,0,1,0
INSTANTIATE::TARGETS::PARK,2653.63740084637,0,-1269.00128185167,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2698.99071021022,0,-1303.97268235721,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2699.81559271602,0,-1327.58494408568,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2655.78748896905,0,-1325.11029656829,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2657.84969523355,0,-1299.84826982822,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2677.25492575246,0,-1342.74369932347,1,0,0,0,1,0
INSTANTIATE::AGENTS::BIGAGENT,2677.50951911844,0,-1283.1688516825,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2691.38485756474,0,-1293.60717968796,1,0,0,0,1,0
INSTANTIATE::TARGETS::CORNERS,2694.43997795658,0,-1338.03372205271,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2702.10495420517,0,-1334.46954667027,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2699.6911606394,0,-1336.13150289588,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2697.91049325481,0,-1340.28639345992,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2705.31015549743,0,-1335.73579903264,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2649.45651157238,0,-1339.25075118106,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2653.45312059112,0,-1338.73633615884,1,0,0,0,1,0
INSTANTIATE::AGENTS::AGENT,2656.65832188338,0,-1339.13204002208,1,0,0,0,1,0
